date,state,cases_deaths,rank,remark
Nov 2020,Kelantan,180,11,cases
Nov 2020,Malacca,76,12,cases
Nov 2020,Negeri Sembilan,3308,3,cases
Nov 2020,Pahang,9,15,cases
Nov 2020,Perak,1274,5,cases
Nov 2020,Perlis,5,16,cases
Nov 2020,Penang,1094,6,cases
Nov 2020,Sabah,13723,1,cases
Nov 2020,Sarawak,183,10,cases
Nov 2020,Selangor,9235,2,cases
Nov 2020,Terengganu,43,14,cases
Nov 2020,Kuala Lumpur,3162,4,cases
Nov 2020,Labuan,887,7,cases
Nov 2020,Putrajaya,58,13,cases
Dec 2020,Johor,4355,4,cases
Dec 2020,Kedah,461,10,cases
Dec 2020,Kelantan,398,11,cases
Dec 2020,Malacca,838,9,cases
Dec 2020,Negeri Sembilan,2913,5,cases
Dec 2020,Pahang,962,8,cases
Dec 2020,Perak,1410,6,cases
Dec 2020,Perlis,3,16,cases
Dec 2020,Penang,1400,7,cases
Dec 2020,Sabah,8269,2,cases
Dec 2020,Sarawak,53,15,cases
Dec 2020,Selangor,18461,1,cases
Dec 2020,Terengganu,88,13,cases
Dec 2020,Kuala Lumpur,7280,3,cases
Dec 2020,Labuan,345,12,cases
Dec 2020,Putrajaya,77,14,cases
Jan 2021,Johor,15824,2,cases
Jan 2021,Kedah,2762,9,cases
Jan 2021,Kelantan,2493,10,cases
Jan 2021,Malacca,2350,11,cases
Jan 2021,Negeri Sembilan,3822,6,cases
Jan 2021,Pahang,1619,13,cases
Jan 2021,Perak,2912,8,cases
Jan 2021,Perlis,130,16,cases
Jan 2021,Penang,4360,5,cases
Jan 2021,Sabah,11828,4,cases
Jan 2021,Sarawak,3333,7,cases
Jan 2021,Selangor,35541,1,cases
Jan 2021,Terengganu,1817,12,cases
Jan 2021,Kuala Lumpur,12112,3,cases
Jan 2021,Labuan,446,15,cases
Jan 2021,Putrajaya,600,14,cases
Feb 2021,Johor,14399,2,cases
Feb 2021,Kedah,1825,10,cases
Feb 2021,Kelantan,1631,11,cases
Feb 2021,Malacca,2400,9,cases
Feb 2021,Negeri Sembilan,4159,6,cases
Feb 2021,Pahang,804,13,cases
Feb 2021,Perak,5114,4,cases
Feb 2021,Perlis,36,16,cases
Feb 2021,Penang,3640,8,cases
Feb 2021,Sabah,4018,7,cases
Feb 2021,Sarawak,5095,5,cases
Feb 2021,Selangor,31959,1,cases
Feb 2021,Terengganu,1054,12,cases
Feb 2021,Kuala Lumpur,9372,3,cases
Feb 2021,Labuan,106,15,cases
Feb 2021,Putrajaya,181,14,cases
Mar 2021,Johor,5298,3,cases
Mar 2021,Kedah,824,10,cases
Mar 2021,Kelantan,1368,9,cases
Mar 2021,Malacca,567,11,cases
Mar 2021,Negeri Sembilan,1459,8,cases
Mar 2021,Pahang,478,12,cases
Mar 2021,Perak,1745,7,cases
Mar 2021,Perlis,118,14,cases
Mar 2021,Penang,4581,4,cases
Mar 2021,Sabah,1881,6,cases
Mar 2021,Sarawak,6845,2,cases
Mar 2021,Selangor,16185,1,cases
Mar 2021,Terengganu,397,13,cases
Mar 2021,Kuala Lumpur,2847,5,cases
Mar 2021,Labuan,75,16,cases
Mar 2021,Putrajaya,80,15,cases
Apr 2021,Johor,4122,5,cases
Apr 2021,Kedah,1489,9,cases
Apr 2021,Kelantan,7582,3,cases
Apr 2021,Malacca,832,12,cases
Apr 2021,Negeri Sembilan,1482,10,cases
Apr 2021,Pahang,912,11,cases
Apr 2021,Perak,1783,8,cases
Apr 2021,Perlis,34,16,cases
Apr 2021,Penang,3737,6,cases
Apr 2021,Sabah,3369,7,cases
Apr 2021,Sarawak,14269,2,cases
Apr 2021,Selangor,16812,1,cases
Apr 2021,Terengganu,600,13,cases
Apr 2021,Kuala Lumpur,5836,4,cases
Apr 2021,Labuan,125,15,cases
Apr 2021,Putrajaya,229,14,cases
May 2021,Johor,13006,5,cases
May 2021,Kedah,8985,6,cases
May 2021,Kelantan,13956,4,cases
May 2021,Malacca,4712,10,cases
May 2021,Negeri Sembilan,7555,8,cases
May 2021,Pahang,4399,12,cases
May 2021,Perak,5885,9,cases
May 2021,Perlis,147,16,cases
May 2021,Penang,8820,7,cases
May 2021,Sabah,4108,13,cases
May 2021,Sarawak,16670,2,cases
May 2021,Selangor,54036,1,cases
May 2021,Terengganu,4578,11,cases
May 2021,Kuala Lumpur,14998,3,cases
May 2021,Labuan,1269,14,cases
May 2021,Putrajaya,520,15,cases
Jun 2021,Johor,12441,5,cases
Jun 2021,Kedah,6360,8,cases
Jun 2021,Kelantan,7023,7,cases
Jun 2021,Malacca,6329,9,cases
Jun 2021,Negeri Sembilan,18575,3,cases
Jun 2021,Pahang,4089,13,cases
Jun 2021,Perak,5994,10,cases
Jun 2021,Perlis,83,16,cases
Jun 2021,Penang,5869,11,cases
Jun 2021,Sabah,7201,6,cases
Jun 2021,Sarawak,17522,4,cases
Jun 2021,Selangor,61825,1,cases
Jun 2021,Terengganu,2430,14,cases
Jun 2021,Kuala Lumpur,19024,2,cases
Jun 2021,Labuan,4447,12,cases
Jun 2021,Putrajaya,410,15,cases
Jul 2021,Johor,19859,5,cases
Jul 2021,Kedah,20362,4,cases
Jul 2021,Kelantan,8183,12,cases
Jul 2021,Malacca,12951,7,cases
Jul 2021,Negeri Sembilan,26611,3,cases
Jul 2021,Pahang,10770,11,cases
Jul 2021,Perak,11051,10,cases
Jul 2021,Perlis,110,16,cases
Jul 2021,Penang,11338,9,cases
Jul 2021,Sabah,15276,6,cases
Jul 2021,Sarawak,11877,8,cases
Jul 2021,Selangor,158668,1,cases
Jul 2021,Terengganu,5747,13,cases
Jul 2021,Kuala Lumpur,45349,2,cases
Jul 2021,Labuan,1492,15,cases
Jul 2021,Putrajaya,1649,14,cases
Aug 2021,Johor,47964,5,cases
Aug 2021,Kedah,53411,3,cases
Aug 2021,Kelantan,34532,8,cases
Aug 2021,Malacca,17192,12,cases
Aug 2021,Negeri Sembilan,19985,10,cases
Aug 2021,Pahang,19697,11,cases
Aug 2021,Perak,30414,9,cases
Aug 2021,Perlis,1250,15,cases
Aug 2021,Penang,40658,6,cases
Aug 2021,Sabah,63122,2,cases
Aug 2021,Sarawak,39830,7,cases
Aug 2021,Selangor,196576,1,cases
Aug 2021,Terengganu,16544,13,cases
Aug 2021,Kuala Lumpur,50212,4,cases
Aug 2021,Labuan,148,16,cases
Aug 2021,Putrajaya,1447,14,cases
Sep 2021,Johor,57198,3,cases
Sep 2021,Kedah,35793,7,cases
Sep 2021,Kelantan,37782,6,cases
Sep 2021,Malacca,9787,12,cases
Sep 2021,Negeri Sembilan,5768,13,cases
Sep 2021,Pahang,20584,10,cases
Sep 2021,Perak,34136,8,cases
Sep 2021,Perlis,1938,14,cases
Sep 2021,Penang,43718,5,cases
Sep 2021,Sabah,50130,4,cases
Sep 2021,Sarawak,93066,1,cases
Sep 2021,Selangor,73667,2,cases
Sep 2021,Terengganu,22153,9,cases
Sep 2021,Kuala Lumpur,12821,11,cases
Sep 2021,Labuan,154,16,cases
Sep 2021,Putrajaya,746,15,cases
Jan 2020,Johor,0,1,deaths
Jan 2020,Kedah,0,1,deaths
Jan 2020,Kelantan,0,1,deaths
Jan 2020,Malacca,0,1,deaths
Jan 2020,Negeri Sembilan,0,1,deaths
Jan 2020,Pahang,0,1,deaths
Jan 2020,Perak,0,1,deaths
Jan 2020,Perlis,0,1,deaths
Jan 2020,Penang,0,1,deaths
Jan 2020,Sabah,0,1,deaths
Jan 2020,Sarawak,0,1,deaths
Jan 2020,Selangor,0,1,deaths
Jan 2020,Terengganu,0,1,deaths
Jan 2020,Kuala Lumpur,0,1,deaths
Jan 2020,Labuan,0,1,deaths
Jan 2020,Putrajaya,0,1,deaths
Feb 2020,Johor,0,1,deaths
Feb 2020,Kedah,0,1,deaths
Feb 2020,Kelantan,0,1,deaths
Feb 2020,Malacca,0,1,deaths
Feb 2020,Negeri Sembilan,0,1,deaths
Feb 2020,Pahang,0,1,deaths
Feb 2020,Perak,0,1,deaths
Feb 2020,Perlis,0,1,deaths
Feb 2020,Penang,0,1,deaths
Feb 2020,Sabah,0,1,deaths
Feb 2020,Sarawak,0,1,deaths
Feb 2020,Selangor,0,1,deaths
Feb 2020,Terengganu,0,1,deaths
Feb 2020,Kuala Lumpur,0,1,deaths
Feb 2020,Labuan,0,1,deaths
Feb 2020,Putrajaya,0,1,deaths
Mar 2020,Johor,12,1,deaths
Mar 2020,Kedah,1,9,deaths
Mar 2020,Kelantan,2,6,deaths
Mar 2020,Malacca,2,6,deaths
Mar 2020,Negeri Sembilan,2,6,deaths
Mar 2020,Pahang,0,14,deaths
Mar 2020,Perak,3,5,deaths
Mar 2020,Perlis,1,9,deaths
Mar 2020,Penang,1,9,deaths
Mar 2020,Sabah,1,9,deaths
Mar 2020,Sarawak,8,2,deaths
Mar 2020,Selangor,7,3,deaths
Mar 2020,Terengganu,0,14,deaths
Mar 2020,Kuala Lumpur,7,3,deaths
Mar 2020,Labuan,0,14,deaths
Mar 2020,Putrajaya,1,9,deaths
Apr 2020,Johor,5,4,deaths
Apr 2020,Kedah,0,13,deaths
Apr 2020,Kelantan,1,10,deaths
Apr 2020,Malacca,3,7,deaths
Apr 2020,Negeri Sembilan,5,4,deaths
Apr 2020,Pahang,4,6,deaths
Apr 2020,Perak,3,7,deaths
Apr 2020,Perlis,1,10,deaths
Apr 2020,Penang,0,13,deaths
Apr 2020,Sabah,3,7,deaths
Apr 2020,Sarawak,9,2,deaths
Apr 2020,Selangor,11,1,deaths
Apr 2020,Terengganu,1,10,deaths
Apr 2020,Kuala Lumpur,9,2,deaths
Apr 2020,Labuan,0,13,deaths
Apr 2020,Putrajaya,0,13,deaths
May 2020,Johor,1,3,deaths
May 2020,Kedah,0,8,deaths
