date,state,cases_deaths,difference,remark
Aug 2021,Putrajaya,3,-2,deaths
Sep 2021,Putrajaya,0,-3,deaths
End,Putrajaya,0,0,deaths
Jan 2020,Malaysia,0,0,deaths
Feb 2020,Malaysia,0,0,deaths
Mar 2020,Malaysia,48,48,deaths
Apr 2020,Malaysia,55,7,deaths
May 2020,Malaysia,12,-43,deaths
Jun 2020,Malaysia,6,-6,deaths
Jul 2020,Malaysia,4,-2,deaths
Aug 2020,Malaysia,3,-1,deaths
Sep 2020,Malaysia,10,7,deaths
Oct 2020,Malaysia,129,119,deaths
Nov 2020,Malaysia,116,-13,deaths
Dec 2020,Malaysia,131,15,deaths
Jan 2021,Malaysia,396,265,deaths
Feb 2021,Malaysia,308,-88,deaths
Mar 2021,Malaysia,134,-174,deaths
Apr 2021,Malaysia,257,123,deaths
May 2021,Malaysia,1615,1358,deaths
Jun 2021,Malaysia,2498,883,deaths
Jul 2021,Malaysia,6651,4153,deaths
Aug 2021,Malaysia,8838,2187,deaths
Sep 2021,Malaysia,5497,-3341,deaths
End,Malaysia,0,0,deaths
